date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén; 4,9671751; 0,129760796;18,0427458
2020-03-30;Aisén;Aysén; 4,9972811; 0,141408383;18,5693027
2020-03-31;Aisén;Aysén; 5,0139627; 0,126984721;18,6152264
2020-04-01;Aisén;Aysén;10,0228610; 1,264972469;28,0606121
2020-04-02;Aisén;Aysén;13,4716673; 2,987744829;33,1355474
2020-04-03;Aisén;Aysén; 8,4622567; 1,704815299;23,7751990
2020-04-04;Aisén;Aysén; 4,3938105; 1,011371906;12,0367979
2020-04-05;Aisén;Aysén; 3,4086222; 1,009070205; 8,0303323
2020-04-06;Aisén;Aysén; 2,5041924; 0,809444232; 5,6087813
2020-04-07;Aisén;Aysén; 1,9868782; 0,680778911; 4,1623022
2020-04-08;Aisén;Aysén; 1,7112130; 0,608359510; 3,4514584
2020-04-09;Aisén;Aysén; 1,5359101; 0,554242577; 3,0486406
2020-04-10;Aisén;Aysén; 1,4220068; 0,515343716; 2,7931869
2020-04-11;Aisén;Aysén; 1,3547095; 0,497301470; 2,6388152
2020-04-12;Aisén;Aysén; 1,3034477; 0,483381218; 2,5610505
2020-04-13;Aisén;Aysén; 1,2601517; 0,472562861; 2,4490705
2020-04-14;Aisén;Aysén; 1,2320014; 0,450377027; 2,3877421
2020-04-15;Aisén;Aysén; 1,0121101; 0,327008460; 2,0788669
2020-04-16;Aisén;Aysén; 0,6173251; 0,127109059; 1,4721802
2020-04-17;Aisén;Aysén; 0,4513695; 0,053644339; 1,2546953
2020-04-18;Aisén;Aysén; 0,5244682; 0,057899003; 1,5136901
2020-04-19;Aisén;Aysén; 0,3077281; 0,007435460; 1,1464405
2020-04-20;Aisén;Aysén; 0,3789706; 0,008986091; 1,4888268
2020-04-21;Aisén;Aysén; 0,4769603; 0,010963661; 1,8601086
2020-04-22;Aisén;Aysén; 0,5969831; 0,014509955; 2,3706467
2020-04-23;Aisén;Aysén; 0,7502443; 0,017062061; 2,9542565
2020-04-24;Aisén;Aysén; 0,9310092; 0,022949381; 3,6846894
2020-04-25;Aisén;Aysén; 1,1450179; 0,026162877; 4,4599554
2020-04-26;Aisén;Aysén; 1,3888123; 0,032930642; 5,3373081
2020-04-27;Aisén;Aysén; 1,6865479; 0,041633576; 6,4550973
2020-04-28;Aisén;Aysén; 2,0059650; 0,049417038; 7,6862964
2020-04-29;Aisén;Aysén; 2,3251365; 0,058215352; 8,8036509
2020-04-30;Aisén;Aysén; 2,6381491; 0,064691772;10,1278050
2020-05-01;Aisén;Aysén; 2,9654410; 0,072756394;11,1717428
2020-05-02;Aisén;Aysén; 3,2305027; 0,076779485;12,0909072
2020-05-03;Aisén;Aysén; 3,5360617; 0,092055276;13,3826331
2020-05-04;Aisén;Aysén; 3,7794261; 0,099430074;14,0806683
2020-05-05;Aisén;Aysén; 3,9940872; 0,094546569;14,9506010
2020-05-06;Aisén;Aysén; 4,1806773; 0,110525489;15,4533871
2020-05-07;Aisén;Aysén; 4,3526690; 0,105226227;16,1265277
2020-05-08;Aisén;Aysén; 4,4387012; 0,109952842;16,7892042
2020-05-09;Aisén;Aysén; 4,5688334; 0,125379584;16,7935145
2020-05-10;Aisén;Aysén; 4,5596338; 0,118634073;16,7848792
2020-05-11;Aisén;Aysén; 4,6762365; 0,113952644;16,9844870
2020-05-12;Aisén;Aysén; 4,7337941; 0,118661603;17,7480688
2020-05-13;Aisén;Aysén; 4,8055328; 0,123771412;17,4939771
2020-05-14;Aisén;Aysén; 4,8503882; 0,126128303;17,8713674
2020-05-15;Aisén;Aysén; 4,8952520; 0,119451077;18,0387078
2020-05-16;Aisén;Aysén; 4,8893909; 0,123848438;18,1713889
2020-05-17;Aisén;Aysén; 4,9121798; 0,129793005;18,3776058
2020-05-18;Aisén;Aysén; 4,9058665; 0,125305041;18,2678169
2020-05-19;Aisén;Aysén; 4,8859188; 0,124641659;18,1093116
2020-05-20;Aisén;Aysén; 4,9340935; 0,124829006;17,9645503
