date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-17;12;Chile; 4,0993534;2,17017742; 6,8810417
2020-03-18;12;Chile; 3,2124161;1,77837059; 5,5497224
2020-03-19;12;Chile; 3,3053575;2,03738991; 5,4168404
2020-03-20;12;Chile; 3,0630592;1,88419261; 4,8780608
2020-03-21;12;Chile; 2,7986399;1,77444180; 4,3466751
2020-03-22;12;Chile; 2,4991016;1,64125864; 3,7810343
2020-03-23;13;Chile; 2,3063489;1,59256387; 3,3724103
2020-03-24;13;Chile; 2,3034453;1,64856841; 3,2496155
2020-03-25;13;Chile; 2,3180623;1,67164675; 3,1954485
2020-03-26;13;Chile; 2,1452724;1,54000274; 2,9420208
2020-03-27;13;Chile; 2,1792232;1,61263408; 2,9395944
2020-03-28;13;Chile; 2,1305122;1,57398893; 2,8540821
2020-03-29;13;Chile; 1,9784632;1,46869924; 2,6358613
2020-03-30;14;Chile; 1,8561350;1,41906823; 2,4328520
2020-03-31;14;Chile; 1,7652791;1,38669541; 2,2639094
2020-04-01;14;Chile; 1,6951807;1,36039306; 2,1280979
2020-04-02;14;Chile; 1,6398049;1,34038228; 2,0230323
2020-04-03;14;Chile; 1,5749873;1,30520388; 1,9102156
2020-04-04;14;Chile; 1,5539543;1,30776635; 1,8582030
2020-04-05;14;Chile; 1,4890135;1,26469514; 1,7607738
2020-04-06;15;Chile; 1,4391502;1,23881207; 1,6817478
2020-04-07;15;Chile; 1,3645188;1,19058529; 1,5764362
2020-04-08;15;Chile; 1,3328719;1,18581559; 1,5148889
2020-04-09;15;Chile; 1,3240815;1,18947197; 1,4859678
2020-04-10;15;Chile; 1,3050769;1,17940163; 1,4513274
2020-04-11;15;Chile; 1,2628002;1,14647049; 1,3960622
2020-04-12;15;Chile; 1,2117207;1,11141338; 1,3286766
2020-04-13;16;Chile; 1,1601747;1,07677093; 1,2586897
2020-04-14;16;Chile; 1,1430180;1,07561136; 1,2249866
2020-04-15;16;Chile; 1,1233939;1,06475010; 1,1932439
2020-04-16;16;Chile; 1,1282443;1,07517351; 1,1898281
2020-04-17;16;Chile; 1,1233697;1,07254054; 1,1794229
2020-04-18;16;Chile; 1,1069177;1,05697221; 1,1606525
